Date,Baseline,Scenario
2024-01-01,23.868242168062597,24.223912978833884
2024-01-02,23.857120054622005,23.82370217203522
2024-01-03,23.86035905871906,24.458182768229975
2024-01-04,23.865148674893828,25.162097538039696
2024-01-05,23.861832106303737,23.955665627421777
2024-01-08,23.86237834406764,24.02159076873664
2024-01-09,23.86227407144023,25.40645598082846
2024-01-10,23.86213026950174,24.882903752278562
2024-01-11,23.8622691097516,24.04538600379782
2024-01-12,23.862219781953804,24.852704760458092
2024-01-15,23.8622258343102,24.17959720865302
2024-01-16,23.862230777101875,24.242808548599566
2024-01-17,23.862225044631327,24.831093661590337
2024-01-18,23.86222778242818,23.29920414898797
2024-01-19,23.86222720481296,23.501302170013386
2024-01-22,23.8622270482515,24.430450442787137
2024-01-23,23.86222728761715,24.158402134401946
2024-01-24,23.862227151531048,25.216792370852616
2024-01-25,23.86222719130907,24.364808824246335
2024-01-26,23.86222719324811,24.04892421467717
2024-01-29,23.86222718341636,26.28586058304286
2024-01-30,23.86222718991205,25.073601787246492
2024-01-31,23.862227187564528,25.361692538889073
2024-02-01,23.862227187760155,24.29160161726295
2024-02-02,23.86222718813263,25.026564474028973
2024-02-05,23.862227187831333,25.592780091592296
2024-02-06,23.8622271879594,24.690669070117973
2024-02-07,23.862227187936725,25.92853355862857
2024-02-08,23.86222718792445,25.242189182824717
2024-02-09,23.862227187937886,25.545686377102374
